iter	Passed	Remaining
0	117	116924
1	117	58772
2	118	39339
3	118	29611
4	119	23774
5	120	19880
6	120	17097
7	121	15011
8	121	13395
9	122	12095
10	122	11031
11	123	10149
12	123	9407
13	124	8765
14	125	8211
15	125	7723
16	126	7291
17	126	6906
18	127	6563
19	127	6253
20	128	5973
21	128	5718
22	129	5485
23	129	5271
24	130	5075
25	130	4901
26	131	4734
27	131	4579
28	132	4435
29	132	4299
30	133	4172
31	134	4054
32	134	3942
33	135	3838
34	135	3738
35	136	3648
36	136	3560
37	137	3478
38	137	3398
39	138	3326
40	140	3277
41	140	3210
42	141	3143
43	141	3080
44	142	3019
45	142	2961
46	143	2905
47	144	2856
48	144	2812
49	145	2765
50	146	2718
51	146	2673
52	147	2629
53	147	2587
54	148	2546
55	148	2506
56	149	2468
57	149	2431
58	150	2395
59	150	2360
60	151	2327
61	151	2294
62	152	2262
63	152	2232
64	153	2202
65	153	2176
66	154	2149
67	154	2123
68	155	2097
69	155	2072
70	156	2047
71	156	2023
72	157	1999
73	157	1976
74	158	1954
75	158	1932
76	159	1911
77	159	1890
78	160	1870
79	160	1851
80	161	1831
81	161	1813
82	162	1792
83	162	1774
84	163	1757
85	163	1740
86	164	1723
87	164	1707
88	165	1691
89	165	1675
90	166	1666
91	167	1652
92	167	1638
93	168	1625
94	169	1612
95	169	1599
96	170	1586
97	170	1572
98	171	1559
99	171	1546
100	172	1534
101	172	1521
102	173	1509
103	173	1498
104	174	1487
105	175	1476
106	175	1466
107	176	1455
108	176	1444
109	177	1434
110	177	1424
111	178	1414
112	178	1404
113	179	1394
114	179	1385
115	180	1375
116	181	1366
117	181	1357
118	182	1348
119	182	1339
120	183	1331
121	183	1323
122	184	1315
123	185	1307
124	185	1299
125	186	1291
126	186	1282
127	187	1275
128	187	1268
129	188	1260
130	188	1253
131	189	1247
132	190	1240
133	190	1233
134	191	1226
135	192	1220
136	192	1213
137	193	1210
138	194	1203
139	194	1197
140	195	1190
141	195	1183
142	196	1177
143	197	1171
144	197	1165
145	198	1159
146	198	1154
147	199	1148
148	200	1142
149	200	1137
150	201	1131
151	201	1126
152	202	1121
153	203	1115
154	203	1109
155	204	1104
156	204	1099
157	205	1093
158	205	1088
159	206	1082
160	206	1076
161	207	1071
162	207	1065
163	208	1060
164	208	1055
165	209	1050
166	209	1045
167	210	1040
168	210	1035
169	211	1030
170	211	1025
171	212	1020
172	212	1016
173	213	1011
174	213	1006
175	214	1002
176	214	998
177	215	994
178	215	989
179	216	985
180	216	981
181	217	976
182	217	972
183	218	968
184	218	963
185	219	959
186	219	955
187	220	951
188	220	947
189	221	943
190	221	939
191	222	935
192	222	931
193	223	927
194	223	923
195	224	920
196	224	916
197	225	912
198	225	908
199	226	905
200	226	901
201	227	897
202	227	894
203	228	890
204	228	887
205	229	883
206	230	883
207	231	879
208	231	876
209	232	873
210	232	869
211	233	866
212	233	863
213	234	859
214	234	856
215	235	853
216	235	850
217	236	847
218	236	843
219	237	840
220	237	837
221	238	834
222	238	831
223	239	828
224	239	825
225	240	822
226	240	819
227	241	816
228	241	813
229	242	811
230	242	808
231	243	805
232	244	803
233	244	801
234	245	799
235	246	796
236	246	793
237	247	791
238	247	788
239	248	785
240	248	782
241	249	780
242	249	777
243	250	774
244	250	772
245	251	769
246	251	767
247	252	764
248	252	762
249	253	759
250	253	757
251	254	754
252	254	751
253	255	749
254	255	746
255	256	744
256	256	741
257	257	739
258	257	737
259	258	734
260	258	732
261	259	730
262	259	727
263	260	725
264	260	723
265	261	720
266	261	718
267	262	716
268	262	713
269	263	711
270	263	709
271	264	707
272	264	704
273	265	702
274	265	700
275	266	698
276	266	696
277	267	693
278	267	691
279	268	689
280	268	687
281	269	685
282	269	683
283	270	681
284	270	678
285	271	676
286	271	674
287	272	672
288	272	670
289	273	668
290	273	666
291	274	664
292	274	663
293	275	661
294	275	659
295	276	657
296	276	655
297	277	653
298	277	651
299	278	649
300	278	647
301	279	645
302	279	643
303	280	641
304	280	639
305	281	638
306	281	636
307	282	634
308	282	632
309	283	630
310	283	628
311	284	626
312	284	625
313	285	623
314	285	621
315	286	619
316	286	617
317	287	616
318	287	614
319	288	612
320	288	610
321	289	609
322	290	607
323	290	606
324	291	604
325	291	602
326	292	601
327	292	599
328	293	597
329	293	596
330	294	594
331	294	592
332	295	591
333	295	589
334	296	588
335	297	587
336	298	586
337	298	584
338	299	583
339	299	581
340	300	580
341	300	578
342	301	576
343	301	575
344	302	573
345	302	572
346	303	570
347	303	569
348	304	567
349	304	566
350	305	564
351	305	563
352	306	561
353	306	560
354	307	558
355	308	557
356	308	555
357	309	554
358	309	552
359	310	551
360	310	549
361	311	548
362	311	546
363	312	545
364	312	543
365	313	542
366	313	541
367	314	539
368	314	538
369	315	536
370	315	535
371	316	533
372	316	532
373	317	531
374	317	529
375	318	528
